utr,amount,credited_at
UTR297179627014,5621.6,2026-08-26T06:30:44
UTR696230818823,7499.599999999999,2026-08-25T23:48:44
UTR498902526086,13325.03,2026-09-01T00:11:44
UTR685345408004,10861.22,2026-08-31T11:26:44
UTR761817034357,6608.93,2026-08-27T09:52:44
UTR175861671162,11777.24,2026-08-31T14:48:44
UTR597755405539,4336.53,2026-08-30T08:42:44
UTR106842990069,1514.64,2026-08-28T21:13:44
UTR853367181300,5183.95,2026-08-31T11:35:44
UTR165993628169,5432.29,2026-08-28T21:46:44
UTR231109968978,4978.639999999999,2026-08-31T16:56:44
UTR837635800910,2872.9300000000003,2026-08-24T20:22:44
UTR239145416010,4459.05,2026-09-01T05:02:44
UTR757250326947,9554.43,2026-09-03T23:47:44
UTR802651665035,4715.57,2026-08-30T07:19:44
UTR545168356527,5137.76,2026-08-25T05:02:44
UTR579914996167,3599.8900000000003,2026-09-01T00:24:44
UTR952037119854,10403.54,2026-08-30T17:32:44
UTR307029884,10357.92,2026-08-31T21:47:44
UTR160976053066,3005.73,2026-08-25T15:01:44
UTR38909013296,2872.41,2026-08-31T04:30:44
UTR432703441652,6800.45,2026-09-01T01:01:44
UTR416063557272,6993.78,2026-08-26T07:37:44
UTR789134484308,3306.97,2026-08-22T23:58:44
UTR344325989990,5480.38,2026-08-31T16:47:44
UTR40629792593,8645.65,2026-09-01T04:44:44
UTR207473425690,9690.21,2026-08-31T16:34:44
UTR658889941083,8002.34,2026-08-29T15:36:44
UTR996653196917,3764.7400000000002,2026-09-01T08:52:44
UTR511929011299,4683.06,2026-08-25T23:07:44
UTR368320926743,8594.41,2026-08-27T21:40:44
UTR959587929743,7157.99,2026-08-28T07:31:44
UTR348254488445,4382.97,2026-09-02T05:44:44
UTR492652340815,4004.4900000000002,2026-09-01T06:01:44
UTR338540015339,9042.74,2026-08-30T12:40:44
UTR615746511605,2650.08,2026-08-28T04:00:44
UTR544530699011,9245.82,2026-08-27T13:37:44
UTR997547036300,11969.79,2026-08-30T16:23:44
UTR42935969433,9503.41,2026-08-31T02:20:44
UTR648245395503,13051.72,2026-08-26T17:08:44
UTR194932966571,14038.869999999999,2026-08-27T05:08:44
UTR910312590676,4369.73,2026-09-02T03:00:44
UTR472808266934,9647.43,2026-08-30T21:32:44
UTR96193431383,2862.96,2026-08-29T19:23:44
UTR684190309882,8588.49,2026-08-29T06:21:44
UTR189145770211,9709.73,2026-08-30T00:15:44
UTR692804390,4831.75,2026-08-31T15:15:44
UTR718204790266,11775.539999999999,2026-09-01T08:43:44
UTR865961158381,7721.11,2026-09-01T15:02:44
UTR84616083261,3348.2699999999995,2026-08-24T09:16:44
UTR418909192060,1587.6999999999998,2026-08-27T20:48:44
UTR96155510946,4877.17,2026-08-31T03:15:44
UTR135802988721,3209.6200000000003,2026-08-26T02:55:44
UTR124665125770,7375.85,2026-08-31T16:37:44
UTR189212923144,4189.97,2026-08-30T01:48:44
UTR801017163418,3930.51,2026-08-26T07:05:44
UTR228651148550,7718.67,2026-09-02T08:36:44
UTR424112797493,4155.2,2026-09-01T06:17:44
UTR456333926958,2301.0099999999998,2026-08-29T20:33:44
UTR15649022074,11962.08,2026-08-30T01:07:44
UTR603652697738,9546.02,2026-08-26T22:29:44
UTR97022135,8951.54,2026-08-31T15:18:44
UTR627597783474,4878.549999999999,2026-08-26T16:05:44
UTR577827578868,5633.48,2026-09-01T21:59:44
UTR475733428318,3401.03,2026-08-31T18:56:44
UTR7891032030,11842.039999999999,2026-09-02T04:48:44
UTR593262753215,6627.719999999999,2026-09-01T14:11:44
UTR637968854985,5535.780000000001,2026-08-29T04:30:44
UTR481172756980,4530.74,2026-08-28T21:16:44
UTR330119058259,12408.23,2026-08-26T00:09:44
UTR649521842611,10221.71,2026-09-01T12:20:44
UTR821875695438,5825.0599999999995,2026-08-30T21:04:44
UTR961525397461,6528.4400000000005,2026-08-29T15:20:44
UTR16219386428,10860.72,2026-08-30T14:15:44
UTR931978533667,9744.38,2026-08-31T07:55:44
UTR413774126619,11152.619999999999,2026-09-01T06:19:44
UTR118219974765,4296.5,2026-08-27T23:05:44
UTR656263771100,4045.34,2026-09-01T09:03:44
UTR311523209323,5593.259999999999,2026-08-25T05:58:44
UTR188455659399,5928.49,2026-08-31T02:38:44
UTR925610293069,12335.65,2026-08-29T21:30:44
UTR802676097150,8264.03,2026-09-01T01:52:44
UTR908143798133,4971.89,2026-08-31T10:29:44
UTR784748473491,4788.32,2026-08-31T12:28:44
UTR840977714178,3776.73,2026-08-24T10:57:44
UTR564873300383,7559.719999999999,2026-09-01T11:49:44
UTR674219444347,8602.82,2026-08-30T22:33:44
UTR441186980875,7937.34,2026-08-31T00:20:44
UTR957641396402,3526.3500000000004,2026-08-30T00:14:44
UTR987870068814,2713.77,2026-08-28T14:18:44
UTR998291779104,2930.38,2026-09-01T00:39:44
UTR518270096503,8520.539999999999,2026-08-29T00:11:44
UTR246107315170,4092.26,2026-08-31T18:55:44
UTR93860414866,10710.12,2026-09-02T00:58:44
UTR664414550677,2415.94,2026-08-31T19:23:44
UTR430374963979,3964.2999999999997,2026-08-31T16:51:44
UTR801473175387,7081.889999999999,2026-08-25T12:17:44
UTR415982689181,5098.12,2026-08-27T02:16:44
UTR208164342905,6994.08,2026-08-27T01:49:44
UTR564311594683,2742.55,2026-08-31T23:45:44
UTR412798412918,6640.62,2026-09-01T04:20:44
UTR588308263630,9719.449999999999,2026-09-01T00:13:44
UTR292949238392,12467.33,2026-08-31T05:54:44
UTR884191098105,5535.19,2026-08-31T10:15:44
UTR99127446901,7703.01,2026-09-01T21:32:44
UTR80832960736,4507.0,2026-08-31T22:43:44
UTR742805044084,8306.91,2026-09-01T13:27:44
UTR514193809963,1809.81,2026-08-29T21:21:44
UTR649052035392,12288.64,2026-08-31T21:11:44
UTR971973422111,11969.3,2026-08-27T18:42:44
UTR834868078623,6337.96,2026-08-30T00:48:44
UTR452670302494,3133.08,2026-08-27T07:27:44
UTR665818349724,6154.59,2026-08-29T05:45:44
UTR887290324147,6435.549999999999,2026-08-30T02:50:44
UTR41419481679,9048.23,2026-09-01T18:30:44
UTR239841015663,6783.47,2026-08-31T21:49:44
UTR897696787948,4193.389999999999,2026-08-28T04:20:44
UTR284434220834,5446.08,2026-08-28T12:07:44
UTR392207646811,3857.7,2026-08-31T22:29:44
UTR369567453871,15660.66,2026-08-30T18:46:44
UTR227541038961,10473.35,2026-08-27T23:31:44
UTR777054002726,4456.46,2026-08-28T07:03:44
UTR405676964945,1680.3700000000001,2026-08-29T06:10:44
UTR193398471590,5821.14,2026-08-28T06:54:44
UTR698226108843,8522.900000000001,2026-09-01T12:08:44
UTR246998144245,4729.73,2026-08-31T12:16:44
UTR378592138233,6992.37,2026-08-28T13:12:44
UTR137549383500,7374.14,2026-09-01T07:07:44
UTR553206249850,10121.949999999999,2026-08-29T22:24:44
UTR929348164383,14135.94,2026-08-25T05:15:44
UTR725097245242,5195.28,2026-08-24T09:33:44
UTR419835759000,6647.84,2026-09-01T16:40:44
UTR856114650617,10466.41,2026-08-31T17:47:44
UTR670312740183,8020.84,2026-08-29T14:11:44
UTR983719173726,6611.04,2026-08-26T12:18:44
UTR585408510210,10043.76,2026-08-29T06:42:44
UTR578673590722,8479.53,2026-09-01T10:33:44
UTR30164282570,10944.46,2026-08-31T12:58:44
UTR803499336012,5397.79,2026-08-30T17:32:44
UTR487337564143,6221.4400000000005,2026-09-01T18:51:44
UTR306291710123,6687.31,2026-08-28T02:12:44
UTR170184445115,11123.11,2026-08-28T10:37:44
UTR438636575207,7469.46,2026-08-23T15:02:44
UTR832569819892,10299.62,2026-09-01T17:23:44
UTR309210727744,9363.23,2026-08-30T02:54:44
UTR727010423516,7682.2699999999995,2026-08-26T11:12:44
UTR695071856787,9500.18,2026-08-30T10:35:44
UTR502787957383,7755.15,2026-08-27T04:17:44
UTR732742032505,2602.62,2026-08-28T16:36:44
UTR76686219758,9547.439999999999,2026-08-30T13:28:44
UTR53791456802,11170.89,2026-08-31T16:12:44
UTR837360572618,11972.11,2026-08-29T11:23:44
UTR351699219314,11668.47,2026-08-30T23:39:44
UTR560245004710,7046.26,2026-08-31T22:08:44
UTR235625243019,2951.0499999999997,2026-08-29T21:45:44
UTR499477868033,7721.48,2026-08-29T22:53:44
UTR213574030614,8607.64,2026-08-25T15:18:44
UTR775464671287,8811.63,2026-08-27T18:22:44
UTR979894178739,6277.900000000001,2026-08-25T10:03:44
UTR517807442088,16566.39,2026-08-28T17:49:44
UTR320715741895,6414.23,2026-08-28T17:05:44
UTR548609489618,13259.04,2026-09-01T03:29:44
UTR452581155926,12552.060000000001,2026-08-31T11:23:44
UTR543189748026,6648.370000000001,2026-08-28T23:48:44
UTR440900883537,7971.16,2026-09-01T21:57:44
UTR25877085930,4146.9800000000005,2026-08-25T23:02:44
UTR395959252505,8216.87,2026-09-01T21:13:44
UTR271806545954,9370.3,2026-08-31T06:08:44
UTR756917217739,8236.210000000001,2026-08-27T08:08:44
