settlement_id,payment_ids,utr,settled_amount,settled_at
setl_45678394,"pay_83920082,pay_33601896,pay_71836622,pay_27399585",UTR536693679627,9994.98,2026-08-10T03:43:28
setl_20267224,"pay_77429925,pay_32111452,pay_30097044,pay_79547623",UTR835229660538,11915.220000000001,2026-08-11T04:29:28
setl_6931035,"pay_94585782,pay_7690827,pay_64443364,pay_76792941",UTR333145549127,8713.04,2026-08-10T02:50:28
setl_91563287,"pay_18959129,pay_91656966",UTR963157230313,3596.56,2026-08-03T09:06:28
setl_92059564,"pay_64114310,pay_88050771,pay_98527160",UTR995114600781,11481.45,2026-08-08T02:40:28
setl_85370225,"pay_27848141,pay_29735510,pay_10728760",UTR596532457062,4765.84,2026-08-08T10:33:28
setl_213907,"pay_25610888,pay_71165833,pay_3287496,pay_44023188",UTR597015326388,7234.52,2026-08-07T02:28:28
setl_22945399,"pay_49742450,pay_5233737,pay_24255733,pay_36267208",UTR740468846017,6496.18,2026-08-08T19:48:28
setl_21943199,"pay_19114210,pay_2578724",UTR283551710707,6583.2,2026-08-08T01:47:28
setl_58790218,"pay_56872346,pay_69317907,pay_60073784,pay_17702831",UTR88866938427,7301.09,2026-08-07T11:37:28
setl_61351831,"pay_89890616,pay_74320915,pay_34510026",UTR178935646781,4567.6900000000005,2026-08-07T05:43:28
setl_70149963,"pay_80534028,pay_58578714,pay_48516115",UTR226109911782,8957.52,2026-08-10T06:29:28
setl_66398650,"pay_7302462,pay_67265743,pay_2309659,pay_55021673",UTR747619886080,10269.8,2026-08-08T20:20:28
setl_52234217,"pay_50210205,pay_75390184",UTR971115891827,7080.110000000001,2026-08-08T09:41:28
setl_70361075,"pay_55237700,pay_50721381,pay_91753598,pay_84610654",UTR359919278532,6526.55,2026-08-09T05:15:28
setl_7992412,"pay_44882409,pay_67579463,pay_18675474",UTR461007388670,4372.67,2026-08-11T04:25:28
setl_48573127,"pay_25623959,pay_15241966",UTR236619140073,904.72,2026-08-09T19:49:28
setl_63883361,"pay_58710275,pay_14450860",UTR692230247758,4885.05,2026-08-09T17:58:28
setl_86201167,"pay_81488551,pay_43805566,pay_43574849,pay_81152295",UTR354674203134,9420.47,2026-08-07T18:29:28
setl_60923637,"pay_17322816,pay_26715763,pay_1937665,pay_7165282",UTR510052162333,10402.14,2026-08-09T03:12:28
setl_85524926,"pay_91051709,pay_17353514,pay_21327248",UTR433058907357,6559.01,2026-08-07T22:39:28
setl_78850372,"pay_98356644,pay_58444409",UTR595126532972,7519.280000000001,2026-08-07T15:20:28
setl_31483369,"pay_64190147,pay_5140107,pay_72045876,pay_74679774",UTR858521300653,8468.84,2026-08-07T00:53:28
setl_28714998,"pay_75817345,pay_35472725,pay_62959792,pay_70771785",UTR110012036594,14141.9,2026-08-08T04:51:28
setl_25816672,"pay_22692005,pay_99990646,pay_48014254,pay_17927896",UTR335692897709,5853.3,2026-08-11T01:03:28
setl_85392435,"pay_86026386,pay_74220487,pay_67770816",UTR966833160277,2807.04,2026-08-08T23:53:28
setl_35541480,"pay_89566740,pay_27679911,pay_44871613,pay_67750121",UTR625760820788,16330.67,2026-08-11T12:58:28
setl_28487994,"pay_80437124,pay_33967113,pay_66345409,pay_72355253",UTR568974165083,11833.95,2026-08-10T02:03:28
setl_68005657,"pay_37597738,pay_29132328,pay_8976000",UTR524589034225,6476.05,2026-08-09T05:23:28
setl_56198881,"pay_58245721,pay_25008568",UTR365102009387,8166.620000000001,2026-08-09T20:14:28
setl_82630299,"pay_73929979,pay_84346346,pay_85585648",UTR72521581156,5016.68,2026-08-08T00:47:28
setl_49414105,"pay_16875736,pay_4587848,pay_34314839",UTR188719186245,9758.89,2026-08-11T03:44:28
setl_60705880,"pay_4270263,pay_54791795,pay_71368152",UTR982149886157,6677.88,2026-08-08T23:08:28
setl_80552901,"pay_47665218,pay_40934727",UTR583830678296,5499.25,2026-08-07T11:00:28
setl_40738596,"pay_87433581,pay_16434444,pay_5938161",UTR225352240861,11283.18,2026-08-02T04:35:28
setl_39521607,"pay_69583668,pay_82331140,pay_73155257",UTR371516271966,5359.26,2026-08-09T13:51:28
setl_13263882,"pay_76481460,pay_59621271,pay_62053001,pay_16630825",UTR128058142641,14103.7,2026-08-11T13:46:28
