utr,amount,credited_at
UTR379767873323,10316.93,2026-09-04T19:15:20
UTR322035194426,7832.78,2026-09-03T05:19:20
UTR616844264394,6052.44,2026-08-29T21:29:20
UTR679452702444,2998.5,2026-09-01T11:21:20
UTR208845989590,7902.21,2026-09-04T03:28:20
UTR140670514166,9207.78,2026-08-24T21:48:20
UTR536281016820,4634.6,2026-08-28T13:45:20
UTR536540724558,6116.99,2026-08-30T12:01:20
UTR832370425198,6419.76,2026-09-02T21:14:20
UTR42757416466,5788.9400000000005,2026-09-02T04:54:20
UTR58378828482,8325.34,2026-09-03T20:53:20
UTR392832963366,4486.57,2026-08-27T18:19:20
UTR328494095074,6123.87,2026-08-31T09:55:20
UTR970431061799,5399.43,2026-09-02T23:44:20
UTR887489073647,8366.81,2026-08-30T20:11:20
UTR104339819073,2983.51,2026-08-26T10:02:20
UTR661606927268,5211.41,2026-08-27T02:44:20
UTR966912479711,12040.77,2026-08-28T17:02:20
UTR328671632803,7832.87,2026-09-02T23:44:20
UTR578196761840,5272.53,2026-09-03T17:35:20
UTR725380568666,5198.27,2026-08-26T03:15:20
UTR350085725389,4891.76,2026-08-29T03:14:20
UTR27294262049,10400.01,2026-09-03T10:13:20
UTR220526655150,8591.44,2026-08-31T17:30:20
UTR972150899657,5376.08,2026-08-31T23:29:20
UTR338009703101,2622.02,2026-08-31T16:06:20
UTR999951847618,11359.31,2026-09-02T15:26:20
UTR348987611730,3450.34,2026-08-31T15:05:20
UTR711676597079,6659.87,2026-09-03T10:11:20
UTR550290108415,7493.099999999999,2026-09-01T19:05:20
UTR136170865498,9477.59,2026-09-04T13:41:20
UTR926312423003,8218.32,2026-09-03T12:24:20
UTR555781764845,1709.67,2026-08-30T16:14:20
UTR345347012021,4946.87,2026-09-01T21:01:20
UTR25869687221,4274.36,2026-09-02T12:28:20
UTR210700880596,10514.52,2026-09-01T21:04:20
UTR699449579610,9620.51,2026-09-02T22:29:20
UTR428595840246,4570.21,2026-08-29T12:27:20
UTR256845790266,11941.32,2026-09-03T07:26:20
UTR526152133807,11660.94,2026-09-04T07:28:20
UTR469247269225,9794.47,2026-08-30T09:14:20
UTR265811849022,5487.65,2026-08-29T09:23:20
UTR392288061775,14616.41,2026-08-28T00:44:20
UTR286907360688,2635.42,2026-09-01T20:39:20
UTR752156807181,9418.23,2026-09-02T22:31:20
UTR375530263826,8755.35,2026-09-03T03:12:20
UTR612685854948,7297.11,2026-08-30T12:08:20
UTR445805135124,3835.54,2026-09-03T12:23:20
UTR168910473960,6058.26,2026-08-28T21:49:20
UTR339297783900,9652.93,2026-09-04T05:17:20
UTR465962345380,13178.95,2026-08-30T14:47:20
UTR552247437118,8246.3,2026-09-01T20:39:20
UTR388231611394,8683.54,2026-09-01T13:53:20
UTR313206455872,7271.33,2026-09-04T04:10:20
UTR419659841517,4911.63,2026-09-03T14:31:20
UTR279576019418,11566.150000000001,2026-09-04T11:10:20
UTR49678040147,4711.59,2026-09-03T20:18:20
UTR740743406499,9773.28,2026-09-03T02:17:20
UTR408069073889,6369.51,2026-09-02T09:00:20
UTR591553064764,7307.65,2026-09-03T09:32:20
UTR263600469120,10328.92,2026-08-31T15:18:20
UTR28539375801,2273.83,2026-08-31T02:52:20
UTR678128289789,6593.34,2026-09-03T03:07:20
UTR673670590455,8474.51,2026-08-31T23:40:20
UTR248246766994,5281.200000000001,2026-09-04T13:16:20
UTR970145419110,5806.71,2026-08-31T21:48:20
UTR768837658905,9714.619999999999,2026-09-02T07:22:20
UTR921590745785,10789.66,2026-09-03T18:42:20
UTR820602836935,3417.6000000000004,2026-09-01T00:00:20
UTR415196816485,2750.16,2026-09-01T20:14:20
UTR457826184873,5844.82,2026-09-02T14:29:20
UTR978934168598,8244.27,2026-08-26T23:49:20
UTR475024320883,2694.84,2026-09-02T06:07:20
UTR565519602154,15704.39,2026-09-01T20:17:20
UTR489618339140,4614.34,2026-09-04T08:31:20
UTR251986604837,4172.99,2026-09-01T03:15:20
UTR629441040956,9727.84,2026-09-04T07:15:20
UTR872744119763,6191.2,2026-08-25T04:34:20
UTR650959056180,11785.82,2026-09-02T07:29:20
UTR937766422072,7909.540000000001,2026-08-30T15:38:20
UTR908397245045,1444.01,2026-09-01T15:50:20
UTR561204063671,8893.72,2026-08-29T09:21:20
UTR657717510890,8157.3099999999995,2026-09-01T07:51:20
UTR46475961262,9346.87,2026-09-01T18:07:20
UTR126981027690,10802.92,2026-09-01T18:51:20
UTR24415496340,11188.8,2026-09-02T04:46:20
UTR358047083673,3985.58,2026-08-27T12:11:20
UTR9571876724,7748.62,2026-08-28T23:04:20
UTR94001510926,1070.2,2026-09-02T18:16:20
UTR934573215259,6953.2,2026-09-03T05:55:20
UTR410807480,5529.66,2026-08-30T03:27:20
UTR869537800290,11253.54,2026-09-02T23:08:20
UTR442254148589,8894.37,2026-09-02T11:34:20
UTR257619386667,11426.16,2026-09-02T14:24:20
UTR548485931124,6748.099999999999,2026-09-03T05:21:20
UTR144973935153,9318.56,2026-08-31T21:36:20
UTR702915203525,3787.0299999999997,2026-09-03T10:08:20
UTR111613858897,10258.19,2026-08-31T00:39:20
UTR529874556806,8840.0,2026-08-31T07:16:20
UTR988423746075,8746.05,2026-09-04T03:35:20
UTR679938702146,4490.21,2026-09-03T07:37:20
UTR805506118270,11386.99,2026-08-31T11:54:20
UTR663663961068,12464.84,2026-09-02T03:12:20
UTR380642539087,5402.2,2026-09-03T14:34:20
UTR138387116578,6104.6,2026-09-03T11:10:20
UTR231334912572,13046.49,2026-09-03T11:41:20
UTR290026668776,12657.48,2026-09-03T04:33:20
UTR424422075409,9091.71,2026-09-03T10:03:20
UTR819575093806,5533.69,2026-08-25T08:39:20
UTR831028573205,6833.139999999999,2026-09-03T15:09:20
UTR30224553299,1235.5900000000001,2026-09-02T04:02:20
UTR703868148482,3403.39,2026-08-31T23:29:20
UTR563864074068,3359.08,2026-09-03T09:33:20
UTR948972522018,8813.89,2026-08-30T08:50:20
UTR28102187169,11720.119999999999,2026-09-01T23:26:20
UTR369189509728,11525.61,2026-09-03T14:11:20
UTR491272255395,15530.08,2026-08-29T16:54:20
UTR117446139497,4519.19,2026-09-01T22:53:20
UTR620117583756,7893.83,2026-09-03T11:05:20
UTR679162607167,3896.46,2026-09-02T15:51:20
UTR412530294723,10176.529999999999,2026-09-02T15:46:20
UTR62489709532,4123.66,2026-09-03T12:40:20
UTR324384110186,8713.62,2026-08-30T18:04:20
UTR425995979158,13059.65,2026-08-30T22:42:20
UTR72287046727,8211.630000000001,2026-09-02T08:18:20
UTR748459679774,7635.700000000001,2026-09-03T20:30:20
UTR251149973381,7672.17,2026-09-02T07:21:20
UTR399344164128,10043.77,2026-09-01T22:26:20
UTR721995644717,6243.62,2026-09-01T01:40:20
UTR415860611008,6307.89,2026-08-30T12:50:20
UTR717341770036,11784.57,2026-09-02T20:22:20
UTR669624851048,3316.09,2026-09-02T22:06:20
UTR905020574279,13693.5,2026-09-02T01:56:20
UTR204091482639,4357.889999999999,2026-09-01T00:32:20
UTR910253031765,7436.79,2026-09-02T22:46:20
UTR828694495155,15122.710000000001,2026-08-27T01:37:20
UTR954983414749,4787.91,2026-09-01T00:49:20
UTR644093619742,5860.4800000000005,2026-09-04T00:28:20
UTR10629746285,9098.0,2026-09-03T12:56:20
UTR870551400933,6784.209999999999,2026-09-03T02:41:20
UTR144339323072,8320.23,2026-08-31T21:31:20
UTR212346047261,6944.6,2026-09-02T07:14:20
UTR889577676896,4632.58,2026-09-01T08:07:20
UTR704696263258,9532.74,2026-08-29T06:00:20
UTR662352002749,9956.41,2026-09-01T03:17:20
UTR831420020319,4932.66,2026-09-02T19:38:20
UTR906346332967,6450.389999999999,2026-09-04T16:24:20
UTR438316272539,7276.63,2026-08-31T14:00:20
UTR55815134894,2301.59,2026-09-02T08:17:20
UTR97268151507,6006.17,2026-09-03T18:24:20
UTR992890450066,10722.41,2026-09-01T20:43:20
UTR885105760508,14012.810000000001,2026-09-03T15:31:20
UTR402635222024,5183.39,2026-08-31T23:05:20
UTR908771126762,9073.050000000001,2026-09-01T15:10:20
UTR238150957763,14274.720000000001,2026-09-01T03:44:20
UTR687125749860,6771.58,2026-09-02T13:10:20
UTR908331290871,4670.95,2026-08-29T21:36:20
UTR35393890538,12070.54,2026-08-29T19:37:20
UTR699694315740,9540.57,2026-09-02T00:54:20
