order_id,amount,fee,tax,currency,created_at,status
order_29752831,248.49,4.97,0.89,INR,2026-08-22T21:56:20,created
order_76623872,1027.95,20.56,3.7,INR,2026-08-22T22:46:20,created
order_96382058,1574.91,31.5,5.67,INR,2026-08-22T23:08:20,created
order_74188745,3139.28,62.79,11.3,INR,2026-08-22T23:31:20,created
order_23026341,2041.57,40.83,7.35,INR,2026-08-23T00:12:20,created
order_17758458,1724.55,34.49,6.21,INR,2026-08-23T00:29:20,created
order_21007067,2356.77,47.14,8.49,INR,2026-08-23T00:47:20,created
order_22676775,4872.64,97.45,17.54,INR,2026-08-23T01:05:20,created
order_5381973,3058.62,61.17,11.01,INR,2026-08-23T02:00:20,created
order_95315586,378.42,7.57,1.36,INR,2026-08-23T02:26:20,created
order_26516852,1789.98,35.8,6.44,INR,2026-08-23T02:58:20,created
order_37467857,998.48,19.97,3.59,INR,2026-08-23T03:36:20,created
order_36383395,1706.98,34.14,6.15,INR,2026-08-23T04:05:20,created
order_41347575,4666.39,93.33,16.8,INR,2026-08-23T04:23:20,created
order_39448623,2030.31,40.61,7.31,INR,2026-08-23T04:41:20,created
order_39265563,2135.08,42.7,7.69,INR,2026-08-23T05:23:20,created
order_83764826,1731.94,34.64,6.24,INR,2026-08-23T05:49:20,created
order_71051463,1678.7,33.57,6.04,INR,2026-08-23T06:14:20,created
order_76750129,1712.53,34.25,6.17,INR,2026-08-23T07:07:20,created
order_54000848,2819.31,56.39,10.15,INR,2026-08-23T07:12:20,created
order_31153081,1583.21,31.66,5.7,INR,2026-08-23T07:29:20,created
order_25948740,1891.35,37.83,6.81,INR,2026-08-23T08:14:20,created
order_45405015,2515.7,50.31,9.06,INR,2026-08-23T09:06:20,created
order_41604147,915.14,18.3,3.29,INR,2026-08-23T09:28:20,created
order_28370610,4764.64,95.29,17.15,INR,2026-08-23T10:05:20,created
order_62547357,2288.64,45.77,8.24,INR,2026-08-23T10:11:20,created
order_28701180,3883.31,77.67,13.98,INR,2026-08-23T10:40:20,created
order_29095224,599.48,11.99,2.16,INR,2026-08-23T11:27:20,created
order_95620854,3319.13,66.38,11.95,INR,2026-08-23T11:46:20,created
order_81577848,3827.73,76.55,13.78,INR,2026-08-23T12:12:20,created
order_31970473,4966.22,99.32,17.88,INR,2026-08-23T12:35:20,created
order_45593779,4017.28,80.35,14.46,INR,2026-08-23T13:30:20,created
order_8905045,3622.06,72.44,13.04,INR,2026-08-23T13:45:20,created
order_66819949,4839.91,96.8,17.42,INR,2026-08-23T14:11:20,created
order_56982859,1047.54,20.95,3.77,INR,2026-08-23T14:36:20,created
order_47179034,691.11,13.82,2.49,INR,2026-08-23T15:23:20,created
order_98377070,4754.36,95.09,17.12,INR,2026-08-23T16:00:20,created
order_70634451,4628.64,92.57,16.66,INR,2026-08-23T16:23:20,created
order_25717829,2821.23,56.42,10.16,INR,2026-08-23T17:09:20,created
order_37251018,4378.63,87.57,15.76,INR,2026-08-23T17:58:20,created
order_52006245,3825.31,76.51,13.77,INR,2026-08-23T18:52:20,created
order_44928521,2564.77,51.3,9.23,INR,2026-08-23T19:33:20,created
order_24249966,3798.28,75.97,13.67,INR,2026-08-23T19:56:20,created
order_27349548,3464.52,69.29,12.47,INR,2026-08-23T20:18:20,created
order_2169429,3252.94,65.06,11.71,INR,2026-08-23T20:54:20,created
order_28091414,2748.65,54.97,9.89,INR,2026-08-23T21:10:20,created
order_53695375,1769.93,35.4,6.37,INR,2026-08-23T22:07:20,created
order_89933286,652.38,13.05,2.35,INR,2026-08-23T22:20:20,created
order_78384882,3113.49,62.27,11.21,INR,2026-08-23T22:29:20,created
order_56536291,4335.14,86.7,15.61,INR,2026-08-23T22:41:20,created
order_47933714,1266.57,25.33,4.56,INR,2026-08-23T23:07:20,created
order_44987503,2163.3,43.27,7.79,INR,2026-08-23T23:51:20,created
order_45605368,3854.99,77.1,13.88,INR,2026-08-24T00:34:20,created
order_23699786,1674.47,33.49,6.03,INR,2026-08-24T00:41:20,created
order_43052713,4436.14,88.72,15.97,INR,2026-08-24T01:00:20,created
order_44161604,2422.19,48.44,8.72,INR,2026-08-24T01:16:20,created
order_50382040,4924.63,98.49,17.73,INR,2026-08-24T01:24:20,created
order_45078971,2909.69,58.19,10.47,INR,2026-08-24T01:52:20,created
order_21262534,3966.37,79.33,14.28,INR,2026-08-24T02:50:20,created
order_59974,1771.04,35.42,6.38,INR,2026-08-24T03:19:20,created
order_75088911,207.73,4.15,0.75,INR,2026-08-24T04:09:20,created
order_54474168,943.28,18.87,3.4,INR,2026-08-24T04:24:20,created
order_26899423,850.34,17.01,3.06,INR,2026-08-24T04:30:20,created
order_41572644,4745.97,94.92,17.09,INR,2026-08-24T05:14:20,created
order_57952978,2460.14,49.2,8.86,INR,2026-08-24T06:03:20,created
order_85209840,3869.96,77.4,13.93,INR,2026-08-24T06:29:20,created
order_49927721,645.67,12.91,2.32,INR,2026-08-24T07:10:20,created
order_98662168,1539.47,30.79,5.54,INR,2026-08-24T07:56:20,created
