payment_id,order_id,method,captured_at,amount
pay_1136227,order_29752831,upi,2026-08-22T22:06:20,248.49
pay_5833854,order_76623872,netbanking,2026-08-22T22:49:20,1027.95
pay_28029163,order_96382058,netbanking,2026-08-22T23:09:20,1574.91
pay_84057765,order_74188745,upi,2026-08-22T23:41:20,3139.28
pay_48695855,order_23026341,netbanking,2026-08-23T00:18:20,2041.57
pay_21373375,order_17758458,netbanking,2026-08-23T00:30:20,1724.55
pay_18389049,order_21007067,card,2026-08-23T00:53:20,2356.77
pay_49679269,order_22676775,upi,2026-08-23T01:09:20,4872.64
pay_98919545,order_5381973,card,2026-08-23T02:01:20,3058.62
pay_34990253,order_95315586,netbanking,2026-08-23T02:28:20,378.42
pay_13758480,order_26516852,card,2026-08-23T03:08:20,1789.98
pay_30962943,order_37467857,upi,2026-08-23T03:38:20,998.48
pay_37233122,order_36383395,card,2026-08-23T04:08:20,1706.98
pay_59079375,order_41347575,card,2026-08-23T04:33:20,4666.39
pay_5434044,order_39448623,upi,2026-08-23T04:46:20,2030.31
pay_31262019,order_39265563,card,2026-08-23T05:31:20,2135.08
pay_53165053,order_83764826,netbanking,2026-08-23T05:52:20,1731.94
pay_13398214,order_71051463,upi,2026-08-23T06:24:20,1678.7
pay_87877897,order_76750129,card,2026-08-23T07:09:20,1712.53
pay_75150360,order_54000848,card,2026-08-23T07:20:20,2819.31
pay_2622899,order_31153081,upi,2026-08-23T07:32:20,1583.21
pay_45768171,order_25948740,netbanking,2026-08-23T08:19:20,1891.35
pay_91401056,order_45405015,upi,2026-08-23T09:13:20,2515.7
pay_94834614,order_41604147,netbanking,2026-08-23T09:37:20,915.14
pay_59138494,order_28370610,netbanking,2026-08-23T10:06:20,4764.64
pay_3383264,order_62547357,netbanking,2026-08-23T10:20:20,2288.64
pay_31808000,order_28701180,netbanking,2026-08-23T10:46:20,3883.31
pay_31009872,order_29095224,upi,2026-08-23T11:33:20,599.48
pay_63570499,order_95620854,upi,2026-08-23T11:50:20,3319.13
pay_44742503,order_81577848,upi,2026-08-23T12:20:20,3827.73
pay_70938829,order_31970473,netbanking,2026-08-23T12:43:20,4966.22
pay_58523844,order_45593779,upi,2026-08-23T13:35:20,4017.28
pay_6240707,order_8905045,card,2026-08-23T13:52:20,3622.06
pay_39696996,order_66819949,card,2026-08-23T14:14:20,4839.91
pay_22832499,order_56982859,upi,2026-08-23T14:45:20,1047.54
pay_92035152,order_98377070,card,2026-08-23T16:01:20,4754.36
pay_75179216,order_70634451,card,2026-08-23T16:31:20,4628.64
pay_98139525,order_25717829,upi,2026-08-23T17:18:20,2821.23
pay_67049131,order_37251018,netbanking,2026-08-23T17:59:20,4378.63
pay_28406794,order_52006245,upi,2026-08-23T18:53:20,3825.31
pay_15104387,order_44928521,netbanking,2026-08-23T19:39:20,2564.77
pay_88573789,order_24249966,card,2026-08-23T20:03:20,3798.28
pay_63160107,order_27349548,card,2026-08-23T20:27:20,3464.52
pay_69912271,order_2169429,netbanking,2026-08-23T20:56:20,3252.94
pay_87113386,order_28091414,netbanking,2026-08-23T21:17:20,2748.65
pay_43662375,order_53695375,card,2026-08-23T22:10:20,1769.93
pay_19271434,order_89933286,netbanking,2026-08-23T22:23:20,652.38
pay_20978718,order_78384882,upi,2026-08-23T22:33:20,3113.49
pay_36972858,order_56536291,card,2026-08-23T22:48:20,4335.14
pay_2338110,order_47933714,upi,2026-08-23T23:16:20,1266.57
pay_50618691,order_44987503,netbanking,2026-08-23T23:53:20,2163.3
pay_96228906,order_45605368,card,2026-08-24T00:39:20,3854.99
pay_43953895,order_23699786,card,2026-08-24T00:44:20,1674.47
pay_7764395,order_43052713,upi,2026-08-24T01:07:20,4436.14
pay_41700360,order_44161604,card,2026-08-24T01:26:20,2422.19
pay_43720932,order_50382040,card,2026-08-24T01:34:20,4924.63
pay_59054822,order_45078971,upi,2026-08-24T01:56:20,2909.69
pay_44950716,order_21262534,card,2026-08-24T02:56:20,3966.37
pay_38092511,order_59974,netbanking,2026-08-24T03:21:20,1771.04
pay_65242685,order_75088911,card,2026-08-24T04:15:20,207.73
pay_75687718,order_54474168,upi,2026-08-24T04:26:20,943.28
pay_82661220,order_26899423,card,2026-08-24T04:40:20,850.34
pay_48996704,order_41572644,netbanking,2026-08-24T05:15:20,4745.97
pay_55534131,order_57952978,upi,2026-08-24T06:06:20,2460.14
pay_94479222,order_85209840,upi,2026-08-24T06:30:20,3869.96
pay_2522353,order_49927721,netbanking,2026-08-24T07:16:20,645.67
pay_24383840,order_98662168,upi,2026-08-24T08:06:20,1539.47
pay_76316893,order_66856824,upi,2026-08-24T08:19:20,3206.68
pay_95488108,order_78748242,upi,2026-08-24T09:07:20,518.47
pay_38239232,order_23458076,card,2026-08-24T09:59:20,1941.2
pay_64708057,order_84512808,card,2026-08-24T10:51:20,635.06
pay_44666071,order_67305917,upi,2026-08-24T11:47:20,1923.29
pay_77377668,order_7188816,upi,2026-08-24T12:02:20,4857.24
pay_10419635,order_3465282,upi,2026-08-24T12:25:20,350.05
pay_40484631,order_60700044,upi,2026-08-24T13:24:20,926.08
pay_63253590,order_15873955,card,2026-08-24T13:49:20,3990.45
pay_13676513,order_51510473,upi,2026-08-24T13:48:20,1012.76
pay_44323026,order_69185363,card,2026-08-24T14:37:20,2870.09
pay_22315019,order_89231352,upi,2026-08-24T14:59:20,4270.81
pay_51346902,order_14898868,netbanking,2026-08-24T15:15:20,4760.07
pay_32210350,order_70637275,card,2026-08-24T16:15:20,3034.97
pay_22607911,order_31437338,netbanking,2026-08-24T17:01:20,4889.62
pay_81661915,order_88641552,netbanking,2026-08-24T17:49:20,2875.16
pay_92510953,order_61365136,upi,2026-08-24T18:38:20,4467.83
pay_97884846,order_45057282,upi,2026-08-24T19:39:20,3887.85
pay_21579363,order_39949601,upi,2026-08-24T20:08:20,3785.8
pay_41350984,order_38825382,netbanking,2026-08-24T20:23:20,808.0
pay_56850390,order_55804427,card,2026-08-24T21:11:20,354.18
pay_19686987,order_72009923,upi,2026-08-24T21:26:20,590.92
pay_87454747,order_21016012,card,2026-08-24T22:15:20,4512.89
pay_88448701,order_96855440,upi,2026-08-24T22:29:20,3260.94
pay_81097052,order_1514993,upi,2026-08-24T22:36:20,2460.56
pay_74085934,order_45061860,upi,2026-08-24T23:38:20,2190.93
pay_62293156,order_32990285,upi,2026-08-25T00:03:20,1961.62
pay_85236956,order_42619837,upi,2026-08-25T00:20:20,499.85
pay_83027170,order_27048022,netbanking,2026-08-25T00:48:20,889.64
pay_34970704,order_21875893,netbanking,2026-08-25T01:00:20,1431.58
pay_2594861,order_89168864,netbanking,2026-08-25T01:46:20,3624.87
pay_18307066,order_17383635,netbanking,2026-08-25T02:22:20,3551.91
pay_53248425,order_23076207,card,2026-08-25T02:53:20,4616.85
pay_63254977,order_67688054,netbanking,2026-08-25T03:42:20,339.22
pay_38505926,order_38203309,upi,2026-08-25T04:31:20,2313.68
pay_16487657,order_95580980,netbanking,2026-08-25T04:58:20,3370.14
pay_98397247,order_86993833,netbanking,2026-08-25T05:41:20,4979.26
pay_15093848,order_75141028,upi,2026-08-25T06:42:20,3100.55
pay_990177,order_92208241,netbanking,2026-08-25T07:22:20,4178.76
pay_23364254,order_94204409,netbanking,2026-08-25T08:18:20,4123.47
pay_22809675,order_81575456,upi,2026-08-25T08:49:20,4622.21
pay_70986761,order_509755,card,2026-08-25T08:58:20,1400.41
pay_40180175,order_76456980,card,2026-08-25T09:43:20,2897.31
pay_3374940,order_68187158,card,2026-08-25T10:36:20,3461.39
pay_28797025,order_39384459,netbanking,2026-08-25T10:42:20,3371.12
pay_73928504,order_92390316,upi,2026-08-25T11:05:20,3815.02
pay_19256897,order_36063784,netbanking,2026-08-25T11:47:20,126.95
pay_28732703,order_92583660,netbanking,2026-08-25T12:37:20,173.14
pay_35294181,order_28524243,netbanking,2026-08-25T13:06:20,646.1
pay_36430320,order_65846007,upi,2026-08-25T13:39:20,2673.6
pay_73612128,order_86846841,netbanking,2026-08-25T13:45:20,1680.28
pay_35287755,order_23684326,card,2026-08-25T14:02:20,2133.17
pay_47535728,order_73173045,netbanking,2026-08-25T14:51:20,2858.37
pay_60859598,order_69290040,card,2026-08-25T15:48:20,4570.19
pay_76238550,order_46635490,netbanking,2026-08-25T16:20:20,3101.62
pay_25126262,order_67108534,card,2026-08-25T16:34:20,3073.24
pay_71635880,order_18356382,upi,2026-08-25T16:54:20,3295.73
pay_93520823,order_16333408,netbanking,2026-08-25T17:01:20,615.86
pay_1475706,order_9285896,netbanking,2026-08-25T17:48:20,2733.51
pay_67296723,order_83065614,card,2026-08-25T18:41:20,447.17
pay_57336801,order_93323737,netbanking,2026-08-25T19:34:20,1411.01
pay_99825158,order_15059567,upi,2026-08-25T20:03:20,4383.05
pay_64555547,order_82986801,netbanking,2026-08-25T20:48:20,4554.96
pay_62773511,order_44377981,upi,2026-08-25T21:42:20,3852.77
pay_13056322,order_32987029,netbanking,2026-08-25T22:18:20,997.55
pay_97303764,order_67319633,upi,2026-08-25T22:21:20,2300.05
pay_13618483,order_83121635,netbanking,2026-08-25T23:14:20,2284.05
pay_81837606,order_57301469,upi,2026-08-26T00:08:20,1097.95
pay_38372635,order_43573009,netbanking,2026-08-26T00:26:20,2060.45
pay_13383228,order_80281500,netbanking,2026-08-26T01:27:20,1088.09
pay_10174669,order_4781993,card,2026-08-26T01:44:20,1166.51
pay_94846115,order_44047061,netbanking,2026-08-26T01:58:20,3048.91
pay_75077846,order_29368407,netbanking,2026-08-26T02:37:20,1345.6
pay_51864358,order_40883185,upi,2026-08-26T02:51:20,2551.3
pay_94586324,order_24002567,card,2026-08-26T03:10:20,1868.0
pay_45896398,order_64321228,upi,2026-08-26T03:51:20,656.02
pay_53977245,order_40884134,upi,2026-08-26T04:08:20,125.0
pay_68395731,order_6425520,upi,2026-08-26T04:50:20,2395.24
pay_11855401,order_67618618,netbanking,2026-08-26T05:19:20,2246.99
pay_29334899,order_48389927,upi,2026-08-26T06:12:20,284.7
pay_44427796,order_77539750,card,2026-08-26T06:19:20,1852.79
pay_12671516,order_42079043,upi,2026-08-26T06:32:20,2769.58
pay_58099053,order_43289882,upi,2026-08-26T07:30:20,2557.85
pay_6659916,order_50937397,card,2026-08-26T07:56:20,4686.45
pay_45952495,order_46665462,netbanking,2026-08-26T08:42:20,4725.03
pay_54130381,order_95467483,card,2026-08-26T09:17:20,4605.12
pay_19535413,order_4276862,netbanking,2026-08-26T09:32:20,3055.32
pay_97985166,order_82841125,upi,2026-08-26T10:09:20,68.77
pay_99029318,order_21871249,card,2026-08-26T10:16:20,4399.37
pay_33239545,order_24220999,card,2026-08-26T11:11:20,2026.44
pay_47365417,order_4066534,upi,2026-08-26T11:44:20,1587.03
pay_24008269,order_21701094,upi,2026-08-26T12:16:20,4422.42
pay_91746663,order_82285577,netbanking,2026-08-26T12:23:20,187.18
pay_57944256,order_92531821,card,2026-08-26T12:27:20,331.01
pay_4675376,order_94000075,card,2026-08-26T13:16:20,2751.63
pay_46747077,order_65350308,upi,2026-08-26T14:11:20,2622.77
pay_35164170,order_37732265,netbanking,2026-08-26T15:09:20,457.75
pay_83504084,order_44790475,card,2026-08-26T15:51:20,708.92
pay_8180334,order_57276655,upi,2026-08-26T16:19:20,1129.73
pay_22482402,order_75535294,card,2026-08-26T17:12:20,1183.51
pay_82022630,order_16151506,netbanking,2026-08-26T17:30:20,1381.84
pay_85835316,order_26318424,upi,2026-08-26T17:50:20,4283.79
pay_26949613,order_86852864,upi,2026-08-26T18:41:20,2429.35
pay_84915640,order_40386527,upi,2026-08-26T18:53:20,2656.28
pay_47168830,order_7757882,upi,2026-08-26T19:32:20,314.62
pay_82396473,order_21620457,card,2026-08-26T19:54:20,3590.74
pay_7494187,order_85592496,card,2026-08-26T20:03:20,1084.07
pay_57700108,order_43805457,netbanking,2026-08-26T20:28:20,1506.36
pay_86224786,order_87269031,netbanking,2026-08-26T20:56:20,1814.45
pay_86160695,order_12702406,upi,2026-08-26T21:43:20,4141.72
pay_46320727,order_52880547,netbanking,2026-08-26T21:57:20,3815.16
pay_20389079,order_72805458,netbanking,2026-08-26T22:50:20,1698.63
