order_id,amount,fee,tax,currency,created_at,status
order_57685206,1448.31,28.97,5.21,INR,2026-08-20T11:51:44,created
order_65094483,2388.89,47.78,8.6,INR,2026-08-20T12:21:44,created
order_11880743,3085.4,61.71,11.11,INR,2026-08-20T12:39:44,created
order_25874256,4777.17,95.54,17.2,INR,2026-08-20T13:33:44,created
order_1260913,1928.99,38.58,6.94,INR,2026-08-20T13:56:44,created
order_37914831,1827.61,36.55,6.58,INR,2026-08-20T14:15:44,created
order_29003248,310.86,6.22,1.12,INR,2026-08-20T14:30:44,created
order_53392040,935.84,18.72,3.37,INR,2026-08-20T14:58:44,created
order_63418380,649.09,12.98,2.34,INR,2026-08-20T15:18:44,created
order_91484717,4541.07,90.82,16.35,INR,2026-08-20T15:24:44,created
order_27935801,294.17,5.88,1.06,INR,2026-08-20T16:12:44,created
order_82303835,4672.29,93.45,16.82,INR,2026-08-20T16:59:44,created
order_51386336,615.97,12.32,2.22,INR,2026-08-20T17:15:44,created
order_4476847,3648.35,72.97,13.13,INR,2026-08-20T17:43:44,created
order_38622925,2477.28,49.55,8.92,INR,2026-08-20T18:21:44,created
order_50948351,171.32,3.43,0.62,INR,2026-08-20T19:05:44,created
order_29914656,4739.65,94.79,17.06,INR,2026-08-20T19:11:44,created
order_48199337,185.94,3.72,0.67,INR,2026-08-20T19:38:44,created
order_99798945,4124.8,82.5,14.85,INR,2026-08-20T20:23:44,created
order_21932815,2945.29,58.91,10.6,INR,2026-08-20T21:17:44,created
order_7073206,1732.08,34.64,6.24,INR,2026-08-20T21:49:44,created
order_83461382,1985.07,39.7,7.15,INR,2026-08-20T22:03:44,created
order_48425758,4358.98,87.18,15.69,INR,2026-08-20T22:46:44,created
order_24019381,228.25,4.57,0.82,INR,2026-08-20T22:54:44,created
order_32249050,1034.6,20.69,3.72,INR,2026-08-20T23:18:44,created
order_16244157,2355.09,47.1,8.48,INR,2026-08-20T23:51:44,created
order_271793,774.7,15.49,2.79,INR,2026-08-21T00:34:44,created
order_2868949,3717.1,74.34,13.38,INR,2026-08-21T00:58:44,created
order_52837145,972.82,19.46,3.5,INR,2026-08-21T01:37:44,created
order_90492528,4148.37,82.97,14.93,INR,2026-08-21T02:00:44,created
order_6620693,2995.05,59.9,10.78,INR,2026-08-21T02:47:44,created
order_89732851,817.54,16.35,2.94,INR,2026-08-21T03:18:44,created
order_56946148,1341.61,26.83,4.83,INR,2026-08-21T03:47:44,created
order_24650620,1831.82,36.64,6.6,INR,2026-08-21T04:26:44,created
order_15346013,304.85,6.1,1.1,INR,2026-08-21T05:20:44,created
order_81112820,4162.83,83.26,14.99,INR,2026-08-21T05:27:44,created
order_48629351,4695.28,93.91,16.9,INR,2026-08-21T05:44:44,created
order_97568103,1711.65,34.23,6.16,INR,2026-08-21T05:55:44,created
order_71176144,743.35,14.87,2.68,INR,2026-08-21T06:19:44,created
order_65814896,4803.13,96.06,17.29,INR,2026-08-21T07:12:44,created
order_82150435,1078.56,21.57,3.88,INR,2026-08-21T07:32:44,created
order_3289680,97.54,1.95,0.35,INR,2026-08-21T07:48:44,created
order_27439740,4528.56,90.57,16.3,INR,2026-08-21T08:43:44,created
order_4083703,541.36,10.83,1.95,INR,2026-08-21T09:26:44,created
order_46531680,4569.66,91.39,16.45,INR,2026-08-21T10:13:44,created
order_3686052,628.17,12.56,2.26,INR,2026-08-21T11:10:44,created
order_84759154,172.14,3.44,0.62,INR,2026-08-21T12:00:44,created
order_17230333,129.41,2.59,0.47,INR,2026-08-21T12:20:44,created
order_78504803,463.54,9.27,1.67,INR,2026-08-21T13:19:44,created
order_71893451,2561.52,51.23,9.22,INR,2026-08-21T14:05:44,created
order_58588768,4840.94,96.82,17.43,INR,2026-08-21T14:14:44,created
order_45608951,4268.82,85.38,15.37,INR,2026-08-21T14:19:44,created
order_46187767,3809.91,76.2,13.72,INR,2026-08-21T14:50:44,created
order_20014618,1759.44,35.19,6.33,INR,2026-08-21T14:55:44,created
order_52468784,768.97,15.38,2.77,INR,2026-08-21T15:13:44,created
order_71371796,4103.95,82.08,14.77,INR,2026-08-21T15:39:44,created
order_81501663,1343.98,26.88,4.84,INR,2026-08-21T16:18:44,created
