payment_id,order_id,method,captured_at,amount
pay_74214466,order_82085800,upi,2026-08-25T11:04:51,689.72
pay_18410951,order_20111306,netbanking,2026-08-25T12:03:51,3831.49
pay_68416213,order_106888,netbanking,2026-08-25T12:11:51,308.98
pay_77999043,order_84964898,card,2026-08-25T12:20:51,1679.59
pay_54792587,order_70625804,netbanking,2026-08-25T12:41:51,568.74
pay_23630310,order_18284347,netbanking,2026-08-25T13:29:51,2595.51
pay_98326530,order_17345875,netbanking,2026-08-25T13:54:51,1636.36
pay_24971001,order_28729017,card,2026-08-25T14:14:51,1417.55
pay_95174804,order_3676066,upi,2026-08-25T14:30:51,83.88
pay_65746993,order_7022052,upi,2026-08-25T14:48:51,4473.78
pay_71945180,order_5494406,netbanking,2026-08-25T15:34:51,384.27
pay_63196756,order_18769043,card,2026-08-25T16:12:51,3065.02
pay_40616608,order_44185828,upi,2026-08-25T16:33:51,1037.04
pay_33353391,order_91557147,card,2026-08-25T17:09:51,1469.67
pay_25245554,order_38892875,netbanking,2026-08-25T17:34:51,3628.88
pay_6844129,order_14065444,netbanking,2026-08-25T18:19:51,3167.63
pay_86581379,order_19058035,netbanking,2026-08-25T19:11:51,4605.76
pay_67868027,order_84632243,upi,2026-08-25T19:34:51,2773.98
pay_67194424,order_69020709,card,2026-08-25T19:48:51,3260.71
pay_76371488,order_23065258,card,2026-08-25T20:01:51,3985.17
pay_42968699,order_32422447,netbanking,2026-08-25T20:23:51,291.03
pay_27107043,order_43013624,netbanking,2026-08-25T21:16:51,560.37
pay_53404065,order_43341283,netbanking,2026-08-25T21:59:51,439.75
pay_83624950,order_37080746,netbanking,2026-08-25T22:50:51,1697.94
pay_63888999,order_29118681,card,2026-08-25T22:48:51,1622.84
pay_12267321,order_27008969,card,2026-08-25T22:57:51,2032.18
pay_45107087,order_918578,upi,2026-08-25T23:27:51,696.87
pay_14632824,order_54050992,upi,2026-08-26T00:09:51,3760.51
pay_60900715,order_23220982,netbanking,2026-08-26T00:16:51,3412.86
pay_5580224,order_84553292,card,2026-08-26T00:37:51,2289.92
pay_25766232,order_9063508,upi,2026-08-26T00:53:51,4070.71
pay_67815363,order_71360702,netbanking,2026-08-26T01:08:51,4980.81
pay_59492903,order_81751413,netbanking,2026-08-26T01:39:51,3521.97
pay_88281240,order_47707486,card,2026-08-26T01:43:51,3834.86
pay_97382564,order_40920888,netbanking,2026-08-26T02:35:51,1776.98
pay_68698,order_26763392,upi,2026-08-26T03:02:51,4760.03
pay_50140008,order_32572045,card,2026-08-26T03:16:51,1221.09
pay_89298214,order_61752634,netbanking,2026-08-26T04:13:51,4363.94
pay_67886801,order_38493846,upi,2026-08-26T05:03:51,644.06
pay_32034681,order_43806086,upi,2026-08-26T05:24:51,1844.23
pay_92469057,order_97040362,card,2026-08-26T05:58:51,1106.84
pay_93977267,order_87818921,upi,2026-08-26T06:38:51,4083.1
pay_76912475,order_84533545,card,2026-08-26T07:04:51,2945.8
pay_13200459,order_22746782,netbanking,2026-08-26T07:13:51,2074.74
pay_97745663,order_93943790,netbanking,2026-08-26T08:06:51,711.35
pay_27375255,order_29711063,upi,2026-08-26T08:32:51,526.87
pay_88282955,order_73859917,netbanking,2026-08-26T08:46:51,2504.75
pay_44217075,order_29796040,upi,2026-08-26T09:25:51,256.94
pay_19118067,order_31004249,netbanking,2026-08-26T09:39:51,1075.85
pay_12355012,order_87057356,upi,2026-08-26T10:37:51,3649.17
pay_1584481,order_37159113,card,2026-08-26T11:16:51,3584.76
pay_86003449,order_22266594,upi,2026-08-26T11:29:51,2353.38
pay_38412925,order_16776300,upi,2026-08-26T11:59:51,3464.86
pay_1437691,order_29957900,netbanking,2026-08-26T12:52:51,2737.72
pay_84416098,order_6535427,card,2026-08-26T13:07:51,1621.7
pay_65637417,order_93514522,upi,2026-08-26T13:55:51,2201.38
pay_63273369,order_93631460,netbanking,2026-08-26T14:48:51,2904.26
pay_38123521,order_13838554,upi,2026-08-26T15:05:51,1836.21
pay_97969068,order_47663891,card,2026-08-26T15:50:51,2901.34
pay_26248333,order_93792529,upi,2026-08-26T16:09:51,3327.12
pay_21886100,order_10567888,card,2026-08-26T16:21:51,3624.93
pay_15040331,order_20587578,card,2026-08-26T17:07:51,3369.23
pay_92319986,order_85609802,upi,2026-08-26T18:03:51,2697.18
pay_76492396,order_44683312,card,2026-08-26T18:56:51,4175.63
