settlement_id,payment_ids,utr,settled_amount,settled_at
setl_5827226,"pay_41488559,pay_85249729",UTR725795927099,2054.94,2026-09-06T22:56:51
setl_66447435,"pay_22063212,pay_30869012,pay_64344448,pay_65875275",UTR937968042407,12044.99,2026-09-05T06:45:51
setl_47995987,"pay_49626676,pay_89057614,pay_57525144",UTR690439917022,6849.21,2026-09-04T20:12:51
setl_77781590,"pay_25531708,pay_38010335,pay_10623989,pay_64413330",UTR391938883019,6108.47,2026-09-05T11:03:51
setl_55808884,"pay_78142378,pay_25920249,pay_27552675,pay_45854200",UTR644307619238,10196.0,2026-09-07T00:02:51
setl_90633655,"pay_89437983,pay_81020911",UTR323296815623,3675.98,2026-09-02T16:11:51
setl_14795963,"pay_32126725,pay_77088804,pay_23519122,pay_89254084",UTR825253508907,8013.36,2026-09-03T21:59:51
setl_20890580,"pay_26756282,pay_42630237,pay_68981516,pay_77693243",UTR704281112288,9088.51,2026-09-05T00:14:51
setl_56186774,"pay_42968699,pay_68416213,pay_79135846",UTR667855971833,3918.13,2026-08-28T17:37:51
setl_12489309,"pay_38925798,pay_62397516,pay_33249538",UTR664270943694,6037.93,2026-08-30T18:56:51
setl_87036056,"pay_87455651,pay_46555476,pay_98465729",UTR778891847019,7039.75,2026-09-04T16:32:51
setl_62233598,"pay_2159750,pay_31668444,pay_38123521",UTR136790313752,5475.86,2026-09-01T10:58:51
setl_17818628,"pay_68487448,pay_47618963,pay_26248333,pay_22886052",UTR754294879406,16159.08,2026-09-05T08:48:51
setl_25448537,"pay_49522872,pay_6025754",UTR572605652843,6831.34,2026-09-04T06:51:51
setl_5102834,"pay_60746615,pay_58007803",UTR908197887388,5608.09,2026-08-29T09:20:51
setl_99398379,"pay_77651779,pay_7538210",UTR881040949132,4946.09,2026-09-04T05:33:51
setl_99539867,"pay_32253928,pay_19972415,pay_90360563",UTR660616637600,5817.97,2026-09-06T05:12:51
setl_41693579,"pay_72253805,pay_82623422",UTR982334030442,8310.7,2026-08-30T19:26:51
setl_87333595,"pay_38498456,pay_12267321,pay_2109841,pay_58999710",UTR631350524550,6223.99,2026-09-03T07:25:51
setl_92558033,"pay_35111450,pay_23130289,pay_77999043,pay_82386135",UTR738417129450,9351.23,2026-09-05T20:55:51
setl_7551443,"pay_77924127,pay_6844129,pay_33399562",UTR19404254747,9434.970000000001,2026-09-04T02:03:51
setl_79280417,"pay_22073451,pay_46462400,pay_32997867",UTR94430308636,7901.09,2026-09-07T07:56:51
setl_7997742,"pay_16597763,pay_34511003,pay_32034681",UTR202830371273,10063.17,2026-09-05T04:05:51
setl_1195659,"pay_75113237,pay_88175631,pay_31830764,pay_1123876",UTR130719972396,17224.1,2026-09-05T03:53:51
setl_82163145,"pay_70962881,pay_83438819,pay_96068386",UTR391938883019,6053.98,2026-09-04T01:54:51
setl_43813779,"pay_59948904,pay_19080197,pay_78995324",UTR26526014420,5350.12,2026-09-06T08:56:51
